survey_year,border_security_attitude,immigration_attitude,citizenship_status,immigrant_generation,place_birth,political_party,vote_intention,approval_rating
2002,3,0,NA,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,4,1,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,2,0,NA,3,2,4,NA,NA
2002,4,0,NA,NA,NA,NA,NA,NA
2002,1,0,NA,3,2,NA,NA,NA
2002,1,0,NA,1,2,NA,NA,NA
2002,8,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,1,NA
2002,1,NA,0,NA,NA,NA,NA,NA
2002,8,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,2,NA,0,NA,NA,NA,NA,NA
2002,4,NA,0,2,2,NA,NA,NA
2002,2,NA,0,1,2,NA,1,NA
2002,3,0,NA,1,2,4,NA,NA
2002,4,NA,0,1,2,NA,1,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,4,NA,NA
2002,1,NA,0,1,2,NA,1,NA
2002,1,NA,0,3,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,4,NA,0,2,2,NA,NA,NA
2002,2,NA,0,3,2,NA,NA,NA
2002,2,0,NA,NA,NA,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,1,0,NA,NA,NA,4,NA,NA
2002,2,0,NA,3,2,NA,NA,NA
2002,1,0,NA,NA,NA,NA,NA,NA
2002,2,0,NA,2,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,2,NA,0,NA,NA,NA,NA,NA
2002,4,NA,0,NA,NA,NA,NA,NA
2002,4,NA,0,NA,NA,NA,NA,NA
2002,2,NA,0,2,2,NA,NA,NA
2002,3,NA,0,3,2,4,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,3,0,NA,3,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,2,NA,0,2,2,NA,NA,NA
2002,2,NA,0,NA,NA,NA,NA,NA
2002,4,NA,34,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,2,NA,0,2,2,4,NA,NA
2002,3,NA,0,4,2,NA,NA,NA
2002,2,0,NA,2,2,NA,NA,NA
2002,2,0,NA,NA,NA,NA,NA,NA
2002,1,0,NA,NA,NA,4,NA,NA
2002,4,0,NA,2,2,NA,NA,NA
2002,4,NA,0,1,2,NA,1,NA
2002,2,NA,0,2,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,1,NA,0,4,2,NA,NA,NA
2002,3,NA,0,NA,NA,NA,NA,NA
2002,3,NA,0,NA,NA,4,NA,NA
2002,1,NA,0,NA,NA,NA,NA,NA
2002,8,NA,0,NA,NA,NA,NA,NA
2002,2,NA,0,NA,NA,NA,NA,NA
2002,1,0,NA,2,2,NA,NA,NA
2002,2,0,NA,NA,NA,NA,NA,NA
2002,1,0,NA,NA,NA,4,NA,NA
2002,3,0,NA,NA,NA,NA,NA,NA
2002,1,0,NA,NA,NA,NA,NA,NA
2002,2,0,NA,NA,NA,4,NA,NA
2002,2,0,NA,NA,NA,NA,NA,NA
2002,1,0,NA,NA,NA,NA,NA,NA
2002,2,0,NA,NA,NA,NA,NA,NA
2002,3,NA,0,NA,NA,4,NA,NA
2002,2,0,NA,NA,NA,4,NA,NA
2002,3,NA,0,1,2,4,1,NA
2002,2,NA,0,NA,NA,NA,NA,NA
2002,1,NA,0,NA,NA,4,NA,NA
2002,4,NA,0,1,2,NA,1,NA
2002,4,NA,0,1,2,4,NA,NA
2002,4,NA,0,1,2,NA,1,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,4,NA,NA
2002,2,0,NA,1,2,4,NA,NA
2002,1,0,NA,2,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,NA,NA,0,NA,NA,4,NA,NA
2002,2,NA,0,NA,NA,4,NA,NA
2002,1,NA,0,2,2,NA,NA,NA
2002,4,NA,0,NA,NA,NA,NA,NA
2002,4,0,NA,NA,NA,NA,NA,NA
2002,1,NA,0,3,2,NA,NA,NA
2002,1,0,NA,NA,NA,4,NA,NA
2002,2,0,NA,NA,NA,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,3,0,NA,2,2,NA,NA,NA
2002,2,0,NA,1,2,4,NA,NA
2002,2,0,NA,1,2,NA,1,NA
2002,1,NA,0,3,2,NA,NA,NA
2002,1,NA,0,NA,NA,4,NA,NA
2002,3,NA,0,2,2,NA,NA,NA
2002,4,NA,0,NA,NA,4,NA,NA
2002,2,0,NA,NA,NA,4,NA,NA
2002,4,87,NA,3,2,NA,NA,NA
2002,2,0,NA,NA,NA,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,3,NA,0,3,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,2,NA,0,2,2,NA,NA,NA
2002,2,0,NA,2,2,4,NA,NA
2002,2,NA,0,NA,NA,4,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,3,NA,0,NA,NA,NA,NA,NA
2002,3,NA,0,1,2,4,NA,NA
2002,2,NA,0,1,2,4,NA,NA
2002,2,0,NA,NA,NA,NA,NA,NA
2002,4,NA,0,NA,NA,NA,NA,NA
2002,1,0,NA,3,2,4,NA,NA
2002,4,0,NA,4,2,NA,NA,NA
2002,3,0,NA,1,2,4,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,1,NA,0,NA,NA,NA,NA,NA
2002,3,NA,0,NA,NA,NA,NA,NA
2002,3,NA,0,NA,NA,NA,NA,NA
2002,1,NA,0,NA,NA,4,NA,NA
2002,4,NA,0,NA,NA,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,1,NA
2002,2,NA,0,NA,NA,NA,NA,NA
2002,3,0,NA,NA,NA,4,NA,NA
2002,3,NA,0,NA,NA,NA,NA,NA
2002,2,0,NA,NA,NA,NA,NA,NA
2002,2,0,NA,NA,NA,4,NA,NA
2002,4,0,NA,NA,NA,4,NA,NA
2002,3,0,NA,1,2,4,1,NA
2002,2,0,NA,NA,NA,4,NA,NA
2002,2,0,NA,NA,NA,4,NA,NA
2002,2,0,NA,NA,NA,4,NA,NA
2002,3,0,NA,NA,NA,4,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,3,0,NA,NA,NA,4,NA,NA
2002,1,0,NA,NA,NA,NA,NA,NA
2002,3,0,NA,1,2,4,1,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,1,0,NA,2,2,NA,NA,NA
2002,3,NA,0,3,2,NA,NA,NA
2002,4,NA,0,1,2,4,NA,NA
2002,4,NA,0,NA,2,NA,NA,NA
2002,8,NA,0,2,2,NA,NA,NA
2002,2,NA,0,NA,NA,NA,NA,NA
2002,2,NA,0,NA,NA,4,NA,NA
2002,3,NA,0,1,2,4,1,NA
2002,4,NA,0,1,2,4,NA,NA
2002,2,NA,0,NA,NA,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,1,0,NA,NA,NA,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,2,0,NA,2,2,4,NA,NA
2002,3,NA,0,NA,NA,NA,NA,NA
2002,1,NA,0,1,2,4,NA,NA
2002,4,NA,34,1,2,4,NA,NA
2002,4,NA,34,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,1,NA
2002,2,0,NA,1,2,4,NA,NA
2002,4,0,NA,1,2,4,NA,NA
2002,2,0,NA,2,2,4,NA,NA
2002,8,0,NA,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,1,NA,0,1,2,4,NA,NA
2002,1,0,NA,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,2,0,NA,1,2,4,NA,NA
2002,2,0,NA,1,2,4,NA,NA
2002,4,87,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,4,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,1,NA,0,1,2,4,1,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,1,NA,0,2,2,4,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,1,NA
2002,1,0,NA,1,2,NA,NA,NA
2002,4,0,NA,2,2,4,NA,NA
2002,NA,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,4,NA,NA,1,2,NA,1,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,1,NA
2002,3,NA,0,2,2,NA,NA,NA
2002,3,NA,0,1,2,4,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,3,87,NA,1,2,4,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,4,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,4,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,4,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,4,1,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,2,0,NA,2,2,NA,NA,NA
2002,3,0,NA,2,2,NA,NA,NA
2002,4,0,NA,1,2,4,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,1,NA
2002,2,NA,NA,2,2,4,NA,NA
2002,3,NA,34,1,2,NA,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,1,NA
2002,4,NA,0,2,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,1,0,NA,2,2,4,NA,NA
2002,2,0,NA,1,2,NA,1,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,4,NA,NA
2002,2,NA,0,1,2,4,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,1,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,4,NA,NA
2002,2,0,NA,1,2,4,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,4,NA,0,2,2,4,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,1,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,4,1,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,4,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,1,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,1,NA,0,2,2,4,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,1,NA,0,1,2,4,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,4,1,NA
2002,4,NA,0,2,2,NA,NA,NA
2002,1,NA,34,1,2,NA,NA,NA
2002,4,NA,0,1,2,4,NA,NA
2002,1,0,NA,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,3,0,NA,1,2,4,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,3,0,NA,2,2,NA,NA,NA
2002,1,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,1,0,NA,1,2,NA,NA,NA
2002,1,0,NA,1,2,NA,1,NA
2002,2,0,NA,1,2,NA,1,NA
2002,1,NA,0,1,2,4,NA,NA
2002,4,NA,34,1,2,NA,1,NA
2002,1,NA,0,1,2,NA,1,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,8,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,4,NA,NA
2002,NA,0,NA,1,2,NA,1,NA
2002,NA,NA,0,1,2,NA,NA,NA
2002,8,0,NA,3,2,4,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,3,NA,0,1,2,4,1,NA
2002,8,0,NA,1,2,NA,NA,NA
2002,2,NA,0,1,2,4,1,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,1,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,1,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,4,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,2,0,NA,2,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,1,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,1,NA
2002,4,0,NA,1,2,4,NA,NA
2002,4,0,NA,2,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,4,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,1,NA
2002,1,NA,0,2,2,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,1,NA,0,1,2,4,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,4,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,3,0,NA,2,2,NA,NA,NA
2002,4,0,NA,1,2,4,NA,NA
2002,4,0,NA,1,2,NA,1,NA
2002,2,0,NA,1,2,4,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,1,NA,0,1,2,4,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,4,NA,NA
2002,4,NA,0,1,2,NA,1,NA
2002,2,NA,0,1,2,4,NA,NA
2002,1,0,NA,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,NA,NA,0,1,2,4,1,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,1,NA
2002,1,NA,34,1,2,4,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,8,0,NA,1,2,NA,1,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,1,NA
2002,1,0,NA,2,2,4,NA,NA
2002,2,NA,34,1,2,NA,NA,NA
2002,2,0,NA,2,2,NA,NA,NA
2002,1,NA,0,1,2,NA,1,NA
2002,1,NA,0,1,2,NA,1,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,1,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,4,0,NA,2,2,4,NA,NA
2002,3,0,NA,1,2,NA,1,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,3,0,NA,2,2,4,NA,NA
2002,2,NA,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,4,NA,NA
2002,4,NA,NA,1,2,4,1,NA
2002,1,0,NA,2,2,4,NA,NA
2002,4,NA,0,1,2,4,NA,NA
2002,1,NA,0,2,2,NA,NA,NA
2002,3,NA,0,1,2,NA,1,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,1,NA,0,2,2,4,NA,NA
2002,1,0,NA,3,2,NA,NA,NA
2002,1,0,NA,2,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,2,NA,34,1,2,NA,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,4,0,NA,1,2,4,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,1,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,8,0,NA,1,2,NA,NA,NA
2002,2,NA,0,1,2,4,1,NA
2002,2,NA,0,2,2,NA,NA,NA
2002,1,NA,0,2,2,4,NA,NA
2002,3,0,NA,2,2,NA,NA,NA
2002,3,0,NA,2,2,4,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,4,NA,34,1,2,NA,NA,NA
2002,2,NA,34,1,2,NA,1,NA
2002,2,NA,0,1,2,4,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,1,NA
2002,2,NA,0,1,2,NA,1,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,NA,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,NA,0,NA,1,2,NA,NA,NA
2002,1,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,3,0,NA,2,2,NA,NA,NA
2002,4,0,NA,1,2,4,NA,NA
2002,2,NA,34,1,2,4,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,4,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,1,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,2,NA,0,2,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,1,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,1,0,NA,1,2,4,NA,NA
2002,1,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,4,NA,NA
2002,2,0,NA,2,2,4,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,4,NA,NA
2002,1,NA,0,1,2,NA,1,NA
2002,3,NA,0,1,2,4,NA,NA
2002,1,NA,0,2,2,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,2,NA,0,1,2,4,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,2,0,NA,2,2,4,NA,NA
2002,2,0,NA,3,2,4,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,2,NA,NA,1,2,4,NA,NA
2002,NA,0,NA,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,1,NA,0,1,2,4,NA,NA
2002,3,NA,0,1,2,NA,1,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,2,NA,0,2,2,4,NA,NA
2002,3,NA,0,2,2,4,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,2,0,NA,2,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,3,0,NA,2,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,1,0,NA,1,2,NA,NA,NA
2002,3,0,NA,2,2,4,NA,NA
2002,1,0,NA,1,2,NA,NA,NA
2002,2,0,NA,2,2,NA,NA,NA
2002,2,NA,0,2,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,4,NA,34,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,2,NA,NA,1,2,NA,NA,NA
2002,1,0,NA,1,2,4,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,4,NA,NA
2002,3,NA,0,1,2,4,NA,NA
2002,3,NA,0,2,2,NA,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,1,NA
2002,8,0,NA,1,2,NA,NA,NA
2002,4,0,NA,2,2,NA,NA,NA
2002,2,0,NA,2,2,4,NA,NA
2002,2,87,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,1,NA,NA,1,2,NA,1,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,8,NA,34,1,2,NA,NA,NA
2002,4,87,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,3,0,NA,2,2,NA,NA,NA
2002,3,0,NA,1,2,NA,1,NA
2002,3,0,NA,1,2,4,NA,NA
2002,1,NA,0,1,2,4,NA,NA
2002,4,NA,34,1,2,NA,NA,NA
2002,1,0,NA,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,4,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,3,NA,34,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,4,87,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,4,NA,34,1,2,NA,NA,NA
2002,2,0,NA,2,2,NA,NA,NA
2002,3,NA,0,1,2,4,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,4,NA,NA,1,2,NA,1,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,1,0,NA,1,2,4,1,NA
2002,8,0,NA,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,NA,0,NA,2,2,4,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,4,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,1,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,2,0,NA,2,2,NA,NA,NA
2002,2,NA,0,2,2,4,NA,NA
2002,2,0,NA,1,2,NA,1,NA
2002,3,NA,0,1,2,4,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,8,0,NA,1,2,4,NA,NA
2002,2,0,NA,1,2,NA,1,NA
2002,4,NA,0,1,2,NA,1,NA
2002,2,0,NA,1,2,NA,1,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,1,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,1,NA,NA,1,2,NA,1,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,1,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,4,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,1,0,NA,1,2,NA,1,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,1,0,NA,1,2,NA,1,NA
2002,4,0,NA,2,2,NA,NA,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,3,NA,NA,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,2,NA,0,1,2,NA,NA,NA
2002,2,NA,0,2,2,NA,NA,NA
2002,4,NA,0,1,2,NA,NA,NA
2002,2,0,NA,2,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,8,NA,0,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,4,NA,NA
2002,4,0,NA,1,2,4,1,NA
2002,4,NA,0,1,2,NA,1,NA
2002,8,NA,0,1,2,4,NA,NA
2002,4,NA,0,1,2,4,1,NA
2002,4,NA,0,1,2,4,NA,NA
2002,2,0,NA,1,2,4,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,3,0,NA,1,2,NA,1,NA
2002,1,NA,0,1,2,NA,1,NA
2002,1,0,NA,1,2,4,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,4,NA,0,2,2,4,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,2,NA,0,2,2,NA,NA,NA
2002,4,0,NA,1,2,NA,1,NA
2002,2,0,NA,1,2,NA,1,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,4,0,NA,1,2,NA,NA,NA
2002,2,NA,0,1,2,4,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,4,NA,0,1,2,NA,1,NA
2002,8,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,1,NA
2002,3,0,NA,1,2,NA,NA,NA
2002,2,0,NA,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,8,NA,0,1,2,NA,NA,NA
2002,3,NA,0,1,2,NA,NA,NA
2002,1,NA,0,1,2,NA,NA,NA
2002,4,NA,0,1,2,4,NA,NA
2002,3,NA,0,1,2,4,NA,NA
